abbr,team,name,position,last_updated,status,source,source_url,access_date,confidence
NYK,New York Knicks,Benjamin M. Gilman,"Director, Basketball Products",7-6-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
NYK,New York Knicks,Daniel Kurtzer,"Director, Performance Science",3-25-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
OKC,Oklahoma City Thunder,Jesse Gould,Vice President of Basketball Operations,10-26-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
OKC,Oklahoma City Thunder,Wynn Sullivan,Vice President of Basketball Operations,10-26-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
OKC,Oklahoma City Thunder,Ezra Van Negri,"Director, Strategic Planning",10-26-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
OKC,Oklahoma City Thunder,James Kopanidis,Strategy,10-26-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
OKC,Oklahoma City Thunder,Bailey Joseph,Director of Data Science,10-26-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
OKC,Oklahoma City Thunder,Alexis Hvostal,Data Scientist,10-26-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
OKC,Oklahoma City Thunder,Rylee Buchert,Strategic Planning Analyst,10-26-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
OKC,Oklahoma City Thunder,Greg Flood,Director of Player Development,10-26-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
OKC,Oklahoma City Thunder,Thomas Van de Houten,Director of Data Solutions,10-26-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
OKC,Oklahoma City Thunder,Shreyas Raikhelkar,Data Solutions Software Engineer,10-26-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
OKC,Oklahoma City Thunder,James Kasakyan,Data Solutions Software Engineer,10-26-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
OKC,Oklahoma City Thunder,Allen Shufer,Data Solutions Software Engineer,10-26-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
OKC,Oklahoma City Thunder,Zoe Vernon,Assistant Coach,10-26-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
ORL,Orlando Magic,David Bencs,Assistant General Manager,8-28-2024,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
ORL,Orlando Magic,Matthew Devita,Director of Basketball Systems,7-7-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
ORL,Orlando Magic,Soumya Kambhampati,Director of Basketball Research,8-28-2024,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
ORL,Orlando Magic,Ben Kimsey,Basketball Data Analyst,8-28-2024,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
PHI,Philadelphia 76ers,Fan-Hal Koung,Assistant General Manager,8-28-2024,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
